city,name,address,rating,reviews_count,phone,website,business_type,hours,latitude,longitude,place_id,scraped_at
"Paris, France",Inter-Scooter,"125 Av. Gabriel Péri, 93400 Saint-Ouen-sur-Seine, France",3.6,74,+33 1 40 12 97 32,N/A,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM,48.90221,2.3307324,ChIJySIzG_xu5kcRIDj3v6pfvyY,2025-10-25T02:56:34.742075
"Paris, France",BEN SCOOTERS - VILLEJUIF,"147 Av. de Paris, 94800 Villejuif, France",4.2,42,+33 1 80 91 31 74,https://www.benscooters.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.7992035,2.3658870999999997,ChIJTyFk3KZz5kcR6PFkvLh77s8,2025-10-25T02:56:34.742079
"Paris, France",Atelier DUCATI PARIS 16,"accès via AUDI TROCADERO, 120 Rue Lauriston, 75116 Paris, France",4.5,194,+33 1 83 81 02 70,http://www.ducatiparis.com/,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,48.8656183,2.2853596,ChIJs4AK679l5kcRY_icFhDZjUQ,2025-10-25T02:56:34.742082
"Paris, France",FTN MOTOS,"46 Rue Kléber, 92300 Levallois-Perret, France",5,73,+33 1 47 75 37 18,http://ftnmotos.fr/,Motorcycle repair shop,Closed ⋅ Opens 9:15 AM Mon,48.893274,2.282054,ChIJ0ae43Fhv5kcR-ihlTfI8Ldo,2025-10-25T02:56:34.742086
"Paris, France",Julien Réparation,"26 Rue Boris Vildé, 92260 Fontenay-aux-Roses, France",4.9,105,+33 6 61 41 16 80,N/A,Motorcycle repair shop,Closed ⋅ Opens 10:30 AM,48.7894096,2.2817685,ChIJUUS30b1w5kcRnh-rM2o3t8I,2025-10-25T02:56:34.742089
"Paris, France",FRIENDS GARAGE 🔧,"Urdu medium school, 75020 Paris, France",N/A,0,N/A,N/A,Motorcycle repair shop,N/A,48.865181199999995,2.3915162,ChIJpax0QQBt5kcRw8qFrYPsNoE,2025-10-25T02:56:34.742092
"Paris, France",Atelier du Roule Toujours,"35 Rue Carnot, 94700 Maisons-Alfort, France",4.6,306,+33 1 43 96 12 12,https://www.roule-toujours.com/,Motorcycle repair shop,Closed ⋅ Opens 8 AM,48.802440399999995,2.4375511,ChIJA8oyGjtz5kcRMiko5aEGhAQ,2025-10-25T02:56:34.742115
"Paris, France",MY 2 ROUES,"98 Bd Davout, 75020 Paris, France",4.7,74,+33 6 03 07 00 01,https://linktr.ee/my2roues,Motorcycle repair shop,Closed ⋅ Opens 10 AM,48.8573336,2.4103190999999997,ChIJE2i0TIBt5kcR3DaQ_7nUbfc,2025-10-25T02:56:34.742119
"Paris, France",Garage BnjMotors,"36 Rue Hoche, 94200 Ivry-sur-Seine, France",4.7,14,+33 7 68 41 85 07,https://www.instagram.com/bnjmotors_garage?igsh=Ym81ZzJmNGhnbDBj,Motorcycle repair shop,Closed ⋅ Opens 10 AM,48.8114291,2.3775233,ChIJn3P9y_hz5kcRFpTC-2hAQi4,2025-10-25T02:56:34.742123
"Paris, France",GoodKids Motorcycles - Work Shop Vitry - GARAGE MOTO - Harley Davidson - Triumph - Toutes marques,"39 Av. du Groupe Manouchian, 94400 Vitry-sur-Seine, France",4.8,124,+33 1 88 33 83 00,https://www.goodkids.co/,Motorcycle repair shop,Closed ⋅ Opens 10 AM,48.7909437,2.4037283,ChIJ5Wtna05z5kcR2VUnUiMJe4M,2025-10-25T02:56:35.359595
"Paris, France",Avantages Moto,"69 Av. Félix Faure, 75015 Paris, France",4.3,66,+33 1 40 60 87 17,N/A,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM,48.8401948,2.2859168999999997,ChIJa4domQ1w5kcRm7afbdL9C9w,2025-10-25T02:56:35.359612
"Paris, France",Alesia Moto - Honda,"106 Boulevard Brune, 75014 Paris, France",4.4,628,+33 1 53 90 16 90,https://alesiamoto.fr/,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,48.824261299999996,2.3199533999999997,ChIJFXZHL61x5kcRDRGOUZasW7s,2025-10-25T02:56:35.359616
"Paris, France",DOC'BIKER,"86 Rue de Paris, 93100 Montreuil, France",3.6,83,+33 1 48 58 88 37,https://docbiker.com/centre/doc-biker-montreuil/?utm_source=google&utm_medium=local&utm_campaign=Multidiffusion&utm_content=DBTMON&origin=GMB,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.857017899999995,2.4288475,ChIJDTz-f2Ft5kcR-sDPv8PK154,2025-10-25T02:56:35.359620
"Paris, France",K2roues,"110 Bd Henri Sellier, 92150 Suresnes, France",4.8,163,+33 9 51 89 03 48,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.864506999999996,2.2186781,ChIJhZ-zJ6dl5kcRuXyZwgMAkG8,2025-10-25T02:56:35.359623
"Paris, France",Speed 2ROO,"128 Av. du Général Leclerc, 93500 Pantin, France",3.9,41,+33 1 48 46 79 15,N/A,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,48.9001734,2.4106476999999997,ChIJq6qeAlRs5kcR76dlvjncHEg,2025-10-25T02:56:35.359626
"Paris, France",Actual Scoot,"86 Bd Beaumarchais, 75011 Paris, France",4.7,116,+33 1 43 38 55 56,N/A,Motorcycle repair shop,Closed ⋅ Opens 10 AM,48.8593299,2.3679414,ChIJe9ghI_5t5kcRcQ4PM4gXE80,2025-10-25T02:56:35.359629
"Paris, France",Hauts de Seine Service,"17 Rue de Colombes, 92600 Asnières-sur-Seine, France",4.7,358,+33 1 47 33 15 00,https://www.hondamoto-asnieres.com/,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM Mon,48.91265,2.284326,ChIJ85qWLmJv5kcRCsFXXGCuSTg,2025-10-25T02:56:35.359632
"Paris, France",L'art Du 2 Roues,"14 Rue Hégésippe-Moreau, 75018 Paris, France",4.6,527,+33 7 68 01 79 34,http://lartdu2roues-paris.site-solocal.com/?utm_source=gmb,Motorcycle repair shop,Closed ⋅ Opens 8 AM,48.8874579,2.327223,ChIJz8xn0wFv5kcRMeTy1WNH2LI,2025-10-25T02:56:35.359635
"Paris, France",Maxi scoot,"184 Bd de la Boissière, 93100 Montreuil, France",5,136,+33 7 58 95 24 61,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.8770424,2.4632663,ChIJC5NGMWht5kcRgg2wyjxVmwA,2025-10-25T02:56:35.359638
"Paris, France",MOTOBIKE93100,"39 Rue Léon Loiseau, 93100 Montreuil, France",4.9,130,+33 6 52 73 79 13,N/A,Scooter repair shop,Closed ⋅ Opens 10 AM,48.8707358,2.4384115,ChIJySvqYbxt5kcRIiWWbvpbeGc,2025-10-25T02:56:35.359641
"Paris, France",Triumph Élysée Motor Atelier,"22 Rue le Sueur, 75016 Paris, France",4.4,78,+33 1 53 64 50 10,http://elyseemotor.com/notre-atelier,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,48.875355,2.2873951999999997,ChIJW-b1-_Jv5kcRgeIUVMLfoXM,2025-10-25T02:56:35.359644
"Paris, France",Digital Moto Saint Maur,"102 Av. Jean Jaurès, 94100 Saint-Maur-des-Fossés, France",5,85,+33 1 45 11 09 02,https://www.digitalmoto.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.7872316,2.4825987,ChIJTzMKqfcN5kcRKJtcXNCYKf8,2025-10-25T02:56:35.359647
"Paris, France",PureRider - Amelot (SAV),"61 Rue Amelot, 75011 Paris, France",4.3,35,+33 1 55 28 30 47,https://centre.docbiker.com/41-purerider-amelot-sav?utm_source=gmb,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.8584774,2.3684056,ChIJASWhRZ9t5kcRMYsETW_aScg,2025-10-25T02:56:35.359650
"Paris, France",AFTM MOTORS,"52 Rue de Paris, 92110 Clichy, France",4.9,73,+33 7 45 18 34 92,N/A,Motorcycle repair shop,Closed ⋅ Opens 10 AM,48.8994554,2.3055187,ChIJ47WBVIhv5kcRXjgbIqg-wwM,2025-10-25T02:56:35.359653
"Paris, France",Rome Moto,"129 Rue de Rome, 75017 Paris, France",4.1,81,+33 6 80 37 93 63,https://www.facebook.com/people/Rome-Moto/61577766148653/?utm_source=gmb,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.885251,2.3170775,ChIJIyH5vLFv5kcRxm9Mot-yydk,2025-10-25T02:56:35.359656
"Paris, France",Blj 2 Wheels,"237 Rue Marcadet, 75018 Paris, France",4.2,162,+33 1 53 06 60 60,http://www.blj-2-roues.com/,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM,48.892335599999996,2.3296542,ChIJG2XsHFRu5kcRAnFAx54ys_s,2025-10-25T02:56:35.359659
"Paris, France",Génération Scrambler,"42 Rue de la Réunion, 75020 Paris, France",4.4,37,+33 1 77 19 85 94,http://www.generation-scrambler.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.8545239,2.4023087,ChIJaXVtcnhy5kcR-pq-ehtVR94,2025-10-25T02:56:35.359662
"Paris, France",Doc'Biker Paris 3 Réparation Scooter et Moto,"44 Bd de Sébastopol, 75003 Paris, France",3.9,82,+33 1 43 36 36 50,https://www.docbiker.com/trouver-un-centre/doc-biker-paris-03,Motorcycle repair shop,Closed ⋅ Opens 10 AM,48.8623267,2.3505639,ChIJuXRr7i1v5kcRwrXlQjyzCPo,2025-10-25T02:56:35.359665
"Paris, France",BLOCK BIKE DEPANNAGE 2 ROUES,"28 BIS Rue des Processions, 93100 Montreuil, France",4.4,84,+33 6 62 24 93 44,https://theblockbike.com/,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,48.8784717,2.4583823,ChIJt6WzrzRt5kcRF-R-UGNY5eo,2025-10-25T02:56:35.359668
"Marseille, France",Marseille Moto,"26 Rue des Abeilles, 13001 Marseille, France",4.9,83,+33 6 83 79 31 93,http://www.marseillemoto.fr/,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,43.3017098,5.3855916,ChIJ99j49mjByRIR7EKnu-cy59I,2025-10-25T02:56:37.974368
"Marseille, France",sun motorcycles,"47 Rue Julia, 13005 Marseille, France",5,25,+33 6 12 66 51 15,N/A,Motorcycle repair shop,N/A,43.2863317,5.3958514,ChIJ8QwDUFa_yRIR9ED9_AZ42sE,2025-10-25T02:56:37.974381
"Marseille, France",Marseille,"21 Rue Puvis de Chavannes, 13001 Marseille, France",5,2,+33 7 58 20 53 23,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM,43.299478,5.373673999999999,ChIJq3TtRQDByRIRZw_8kwrh0yc,2025-10-25T02:56:37.974385
"Marseille, France",Le QG Motors - Garage Moto - Réparation & entretient,"153 Chem. Borie, 13821 La Penne-sur-Huveaune, France",5,56,+33 4 91 35 45 59,https://leqgmotors.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,43.2828471,5.519686699999999,ChIJUfWAUQq9yRIRa3GVGxKIhdQ,2025-10-25T02:56:37.974388
"Marseille, France",Good Speed Moto,"46 Rue Pierre Béranger, 13012 Marseille, France",4.9,104,+33 4 65 85 87 97,https://www.facebook.com/Good.speed.moto/,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,43.3115361,5.4467644,ChIJEYmcONG9yRIRRGf1Yjbsfs8,2025-10-25T02:56:37.974391
"Marseille, France",Doc' Biker,"ANGLE BD SAKAKINI/BD CHAVE, STATION TOTALACCESS RELAIS PARC BARRY, 13005 MARSEILLE 05, France",4.7,175,+33 4 91 63 14 90,http://www.docbiker.com/les-centres/centre-marseille/,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,43.2951927,5.4002102999999995,ChIJ-cQxOVy_yRIRZAjwzgUxgKg,2025-10-25T02:56:37.974394
"Marseille, France",Bikebusters - Révision & Services rapides moto & scooters,"150 Rue Breteuil, 13006 Marseille, France",5,60,+33 4 86 68 31 33,http://bikebusters.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,43.283921899999996,5.3782308,ChIJj-BQ4VXByRIRWI35jrQs9wo,2025-10-25T02:56:37.974396
"Marseille, France",MOTOR-ISLAND,"41 Rue du Dr Fiolle, 13006 Marseille, France",4.8,96,+33 4 91 52 44 86,https://www.facebook.com/MotorIslandMarseille,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,43.2843589,5.3809777,ChIJ0Z1_WIjByRIRby-P5XaUxfo,2025-10-25T02:56:37.974399
"Marseille, France",MotoCare,"Rue Prte Baussenque, 13002 Marseille, France",4.7,63,+33 6 75 83 26 78,N/A,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,43.2979732,5.3667541,ChIJK5N0B0LByRIRRCeDsxfQjvY,2025-10-25T02:56:37.974401
"Marseille, France",Storic Motorcycles,"44 Bd Fifi Turin, 13010 Marseille, France",4.8,35,+33 7 61 45 52 34,http://www.storic-motorcycles.com/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,43.2807862,5.4125761,ChIJy8qg-kq_yRIRRemBfziZ7fY,2025-10-25T02:56:37.974404
"Marseille, France",Upside moto,"27 Rue Roger Brun, 13005 Marseille, France",4.8,63,+33 6 33 76 67 08,https://www.facebook.com/NicoUpside,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,43.2862784,5.3918256,ChIJgX8315jByRIRmFy6ChydGO8,2025-10-25T02:56:37.974406
"Marseille, France",Moto Top,"36 Cr Lieutaud, 13001 Marseille, France",4.5,106,+33 6 59 05 05 05,https://www.facebook.com/Mototopbik,Motorcycle repair shop,Closed ⋅ Opens 9 AM,43.293688499999995,5.3820311,ChIJ9cX-arvAyRIR_4UZZFGZ2Tk,2025-10-25T02:56:37.974409
"Marseille, France",Electromotors,"6 Trav. Baussenque, 13002 Marseille, France",4.4,25,+33 6 31 27 47 96,https://electromotors13.wixsite.com/website,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,43.2989329,5.3670404,ChIJLaUp8p_ByRIRj6x7U_0Phl4,2025-10-25T02:56:37.974411
"Marseille, France",MOTOR BIKE 13 Entretien réparation scooter / Service carte grise / Vente pièces détachées,"3 Bd Louis Guichoux, 13014 Marseille, France",4.6,91,+33 9 80 84 34 67,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM,43.3259113,5.3746635,ChIJu8mtJnzByRIRtFcBHYjpIHw,2025-10-25T02:56:37.974414
"Marseille, France",Sud Performance 2 Roues,"8 Rue Rolland, 13010 Marseille, France",5,2,+33 6 46 83 60 94,N/A,Motorcycle repair shop,N/A,43.282063699999995,5.3977882,ChIJ8wXjiWW_yRIR12nI_VI3Zrw,2025-10-25T02:56:37.974417
"Marseille, France",SELF BIKER,"1985 Chem. de la Vallée, 13400 Aubagne, France",4.9,50,+33 6 95 92 19 71,https://www.self-biker.com/,Motorcycle repair shop,Closed ⋅ Opens 3:30 PM Mon,43.283893299999995,5.5211536,ChIJFZu9-oy9yRIRll7uJj8zgco,2025-10-25T02:56:37.974419
"Marseille, France",Speed Race Motorcycles,"3bis Rue Brandis, 13005 Marseille, France",5,1,+33 7 84 94 82 71,N/A,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,43.2878012,5.3942912,ChIJXSjobcO_yRIRM59WhyWdX80,2025-10-25T02:56:37.974422
"Marseille, France",Monster Moto,"165 Rue d'Endoume, 13007 Marseille, France",4.9,61,+33 9 73 66 84 64,http://monster-moto-marseille.com/,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM Mon,43.286147799999995,5.360916,ChIJ_3T2idHAyRIRQwc_Qm4G7J8,2025-10-25T02:56:37.974425
"Marseille, France",Team Scooter,"21 Rue Puvis de Chavannes, 13001 Marseille, France",5,13,+33 7 58 20 53 23,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM,43.299478,5.373673999999999,ChIJx-jVHwnByRIRRMsOhCyMUrQ,2025-10-25T02:56:37.974427
"Marseille, France",DEVmoto,"15 Rue de Cassis, 13008 Marseille, France",4.4,73,+33 6 95 25 86 43,http://devmoto.com/,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM Mon,43.2796847,5.3893759,ChIJcYJsj3jHyRIR-0TSh3Oz31Y,2025-10-25T02:56:37.974430
"Marseille, France",Nel Moto,"45 BIS Bd Françoise Duparc, 13004 Marseille, France",4.7,98,+33 9 54 96 00 84,N/A,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,43.303253,5.4005377999999995,ChIJbd6WS2-_yRIRSxFPe-lpMUI,2025-10-25T02:56:38.610951
"Marseille, France",SSM Motorrad Marseille - Spécialiste moto BMW - Préparation Entretien Réparation,"153 Chem. Borie, 13821 La Penne-sur-Huveaune, France",5,18,+33 4 91 35 45 59,https://leqgmotors.fr/preparation-moto-bmw-marseille-ssm-motorrad/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,43.2828358,5.5196176,ChIJ2xFG_Y29yRIRXRBxdLWc9D8,2025-10-25T02:56:38.610955
"Marseille, France",Le QG Motors / SSM Motorrad Marseille,"115 Bd de la Millière, 13011 Marseille, France",5,1,N/A,N/A,Motorcycle repair shop,N/A,43.284321399999996,5.4986085,ChIJ9XUHzK29yRIR8ETvX1m1lAE,2025-10-25T02:56:38.610959
"Marseille, France",RS BIKE MECANIQUE,"55 Bd des Fauvettes, 13012 Marseille, France",3.9,30,+33 7 73 67 31 02,N/A,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,43.3147556,5.4390163,ChIJoY100lS_yRIRbkfHPgRpHws,2025-10-25T02:56:38.610962
"Marseille, France",Biker13,"13002 36 Rue de Forbin, 13002 Marseille, France",N/A,0,+33 6 58 53 77 02,N/A,Motorcycle repair shop,Closed ⋅ Opens 8 AM,43.3057617,5.3690470999999995,ChIJuSEQo0nByRIR3Gk9a_ZRKKg,2025-10-25T02:56:38.610966
